"id_discente","curso","turno","ano_ingresso","idade_ingresso","escola_publica","forma_ingresso","acao_afirmativa","sexo","cor_raca","estado_civil","media_global_aluno","media_global_curso","percentual_integralizado","trancamentos","mobilidade","total_componentes","total_reprovacao","total_aprovacao","percentagem_frequencia","percentagem_reprovacao","reprovacoes_rm","reprovacoes_rf","reprovacoes_rmf","percentagem_aprovacao","qtd_semestres","motivo_inativacao","status"
798398,"Ciência Da Computação","Integral",2015,45,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",0,5.03,0,0,0,0,0,0,0.00,0,0,0,0,0,0,"Excluído","Excluído"
798411,"Sistemas De Informação","Noturno",2015,20,"Sim","Sisu","RI","Masculino","Pardo","Solteiro(A)",6.03,5.32,88.8,0,0,57,19,38,81.63,33.33,7,0,12,66.67,13,"Ativo","Ativo"
798426,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",6.63,5.03,88.96,0,0,55,11,44,81.34,20,5,0,6,80,13,"Ativo","Ativo"
798447,"Sistemas De Informação","Noturno",2015,21,"Não","Sisu","Ampla Concorrência","Masculino","Pardo","Solteiro(A)",4.95,5.32,42.66,3,0,37,16,21,81.62,43.24,7,0,9,56.76,8,"Ativo","Ativo"
798465,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",0.44,5.03,0,0,0,7,7,0,43.75,100,1,0,6,0,2,"Excluído","Excluído"
798467,"Sistemas De Informação","Noturno",2015,29,"Sim","Sisu","RI-PPI","Masculino","Pardo","Casado(A)",4.39,5.32,26.66,5,0,18,9,9,57.46,50,3,0,6,50,7,"Ativo","Ativo"
798489,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Feminino","Branco","Solteiro(A)",5.61,5.03,87.23,0,0,52,20,32,77.60,38.46,19,0,1,61.54,12,"Ativo","Ativo"
798503,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Amarelo","Solteiro(A)",3.05,5.03,23.4,1,0,46,35,11,66.48,76.09,15,0,20,23.91,10,"Ativo","Ativo"
798509,"Sistemas De Informação","Noturno",2015,36,"Não","Sisu","Ampla Concorrência","Feminino","Branco","Divorciado/Separado(A)",0,5.32,0,0,0,5,5,0,5.00,100,0,0,5,0,1,"Excluído","Excluído"
798511,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",0,5.03,0,0,0,0,0,0,0.00,0,0,0,0,0,0,"Excluído","Excluído"
798523,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",4.87,5.03,21.27,0,0,18,8,10,78.73,44.44,4,0,4,55.56,4,"Mudança de curso","Excluído"
798525,"Sistemas De Informação","Noturno",2015,37,"Sim","Sisu","RS-PPI","Masculino","Pardo","Casado(A)",0.5,5.32,0,3,0,5,5,0,35.00,100,0,0,5,0,1,"Excluído","Excluído"
798541,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",0,5.03,0,0,0,0,0,0,0.00,0,0,0,0,0,0,"Excluído","Excluído"
798545,"Sistemas De Informação","Noturno",2015,20,"Sim","Sisu","RS-PPI","Masculino","Preto","Solteiro(A)",5.92,5.32,75.06,1,0,46,15,31,70.36,32.61,3,0,12,67.39,10,"Ativo","Ativo"
