media_global_aluno;total_componentes;percentagem_frequencia;percentagem_aprovacao;percentagem_reprovacao;trancamentos;mobilidade;qtd_semestres;acao_afirmativa__0;acao_afirmativa__1;turno_Integral;turno_Noturno;escola_publica_Não;escola_publica_Sim;sexo_Feminino;sexo_Masculino;cor_raca_Amarelo;cor_raca_Branco;cor_raca_Indígeno;cor_raca_Não Informado;cor_raca_Pardo;cor_raca_Preto;estado_civil_Casado(A);estado_civil_Divorciado/Separado(A);estado_civil_Outro;estado_civil_Solteiro(A);estado_civil_Viúvo(A);faixa_etaria_Até 18;faixa_etaria_Entre 19 e 21;faixa_etaria_Entre 21 e 24;faixa_etaria_Entre 25 e 27;faixa_etaria_Entre 28 e 30;faixa_etaria_Entre 31 e 40;faixa_etaria_Maior que 41;status
0.21127624354559552;0.1315141263484578;0.2710618870435728;0.2731078710949081;0.03688971244074241;0.30999758353565054;0.0;0.14090799251620478;0.30999758353565054;0.0;0.0;0.30999758353565054;0.30999758353565054;0.0;0.0;0.30999758353565054;0.0;0.0;0.0;0.30999758353565054;0.0;0.0;0.0;0.0;0.0;0.30999758353565054;0.0;0.0;0.0;0.30999758353565054;0.0;0.0;0.0;0.0;0
0.0;0.04707085683025643;0.22884001378638055;0.1664291009355495;0.1664291009355495;0.332858201871099;0.0;0.060519673067472544;0.0;0.332858201871099;0.0;0.332858201871099;0.332858201871099;0.0;0.0;0.332858201871099;0.0;0.0;0.0;0.0;0.332858201871099;0.0;0.0;0.0;0.0;0.332858201871099;0.0;0.0;0.0;0.0;0.332858201871099;0.0;0.0;0.0;0
0.0;0.0471841760431878;0.21971480089424836;0.19065305577976238;0.14300647481135131;0.3336595305911137;0.0;0.04549902689878823;0.3336595305911137;0.0;0.0;0.3336595305911137;0.3336595305911137;0.0;0.0;0.3336595305911137;0.0;0.0;0.0;0.3336595305911137;0.0;0.0;0.0;0.0;0.0;0.3336595305911137;0.0;0.0;0.3336595305911137;0.0;0.0;0.0;0.0;0.0;0
0.1904413294375728;0.1744109145017502;0.259000208035099;0.25326520342860753;0.055068377565557956;0.30833358099416547;0.0;0.19621227881446893;0.30833358099416547;0.0;0.0;0.30833358099416547;0.30833358099416547;0.0;0.0;0.30833358099416547;0.0;0.0;0.0;0.30833358099416547;0.0;0.0;0.0;0.0;0.0;0.30833358099416547;0.0;0.0;0.30833358099416547;0.0;0.0;0.0;0.0;0.0;1
0.0;0.1466734554725028;0.3062871765540672;0.32252392807487323;0.007491346738258081;0.0;0.0;0.1350062487871901;0.33001527481313125;0.0;0.0;0.33001527481313125;0.33001527481313125;0.0;0.33001527481313125;0.0;0.0;0.0;0.0;0.33001527481313125;0.0;0.0;0.0;0.0;0.0;0.33001527481313125;0.0;0.0;0.33001527481313125;0.0;0.0;0.0;0.0;0.0;1
0.0;0.017846727509917032;0.022085325293522324;0.0;0.3533652046963572;0.0;0.0;0.016062054758925325;0.3533652046963572;0.0;0.0;0.3533652046963572;0.3533652046963572;0.0;0.0;0.3533652046963572;0.0;0.0;0.0;0.3533652046963572;0.0;0.0;0.0;0.0;0.0;0.3533652046963572;0.0;0.0;0.0;0.0;0.3533652046963572;0.0;0.0;0.0;0
0.0;0.056147268531092545;0.23547532765169238;0.04342640300451689;0.3039848210316182;0.0;0.0;0.04737425782310933;0.0;0.3474112240361351;0.0;0.3474112240361351;0.0;0.3474112240361351;0.0;0.3474112240361351;0.0;0.0;0.0;0.0;0.3474112240361351;0.0;0.0;0.0;0.0;0.3474112240361351;0.0;0.0;0.3474112240361351;0.0;0.0;0.0;0.0;0.0;0
0.1588886120258612;0.20174870162340428;0.2614294351194164;0.19991846262086446;0.11216156020283903;0.31208002282370345;0.0;0.18441092257764297;0.31208002282370345;0.0;0.0;0.31208002282370345;0.31208002282370345;0.0;0.0;0.31208002282370345;0.0;0.0;0.0;0.0;0.31208002282370345;0.0;0.0;0.0;0.0;0.31208002282370345;0.0;0.0;0.31208002282370345;0.0;0.0;0.0;0.0;0.0;0
0.0;0.17368496894506172;0.30534017946275244;0.2861613507765497;0.04450810933039472;0.0;0.0;0.16533473005347218;0.33066946010694437;0.0;0.0;0.33066946010694437;0.33066946010694437;0.0;0.0;0.33066946010694437;0.0;0.0;0.0;0.33066946010694437;0.0;0.0;0.0;0.0;0.0;0.33066946010694437;0.0;0.33066946010694437;0.0;0.0;0.0;0.0;0.0;0.0;1
0.0;0.14321499666347332;0.30878985100369616;0.32972755045776414;0.0;0.0;0.0;0.11990092743918697;0.0;0.32972755045776414;0.0;0.32972755045776414;0.0;0.32972755045776414;0.0;0.32972755045776414;0.0;0.0;0.0;0.0;0.32972755045776414;0.0;0.0;0.0;0.0;0.32972755045776414;0.0;0.0;0.32972755045776414;0.0;0.0;0.0;0.0;0.0;1
