id_discente;curso;turno;ano_ingresso;idade_ingresso;escola_publica;forma_ingresso;acao_afirmativa;sexo;cor_raca;estado_civil;media_global_aluno;media_global_curso;percentual_integralizado;trancamentos;mobilidade;total_componentes;total_reprovacao;total_aprovacao;percentagem_frequencia;percentagem_reprovacao;reprovacoes_rm;reprovacoes_rf;reprovacoes_rmf;percentagem_aprovacao;qtd_semestres;motivo_inativacao;status;faixa_etaria;acao_afirmativa_
779446;Ciência Da Computação;Integral;2012;24;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.03;0.0;0;0.0;10;5;5;56.25;50.0;0;0;5;50.0;2;Excluído;Excluído;Entre 21 e 24;0
779458;Ciência Da Computação;Integral;2012;19;Sim;Sisu;Ampla Concorrência;Masculino;Branco;Solteiro(A);8.42;5.03;100.0;0;2.0;46;1;45;82.91;2.17;1;0;0;97.83;8;Conclusão;Graduado;Entre 19 e 21;0
779476;Sistemas De Informação;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);7.75;5.32;100.0;0;0.0;45;1;44;92.2;2.22;1;0;0;97.78;9;Conclusão;Graduado;Até 18;0
779502;Ciência Da Computação;Integral;2012;17;Sim;Processo Seletivo;RI;Masculino;Não Informado;Solteiro(A);5.14;5.03;91.48;1;0.0;68;28;40;83.53;41.18;19;0;9;58.82;16;Ativo;Ativo;Até 18;1
779503;Ciência Da Computação;Integral;2012;17;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);5.98;5.03;100.0;0;0.0;62;17;45;87.15;27.42;15;0;2;72.58;12;Conclusão;Graduado;Até 18;0
779504;Ciência Da Computação;Integral;2012;26;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.32;5.03;51.06;1;0.0;26;8;18;84.0;30.77;2;0;6;69.23;8;Excluído;Excluído;Entre 25 e 27;0
779711;Sistemas De Informação;Noturno;2012;21;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);2.75;5.32;34.86;1;0.0;61;44;17;58.78;72.13;15;0;29;27.87;15;Excluído;Excluído;Entre 19 e 21;0
779805;Sistemas De Informação;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Branco;Solteiro(A);7.24;5.32;100.0;0;0.0;46;2;44;90.68;4.35;2;0;0;95.65;9;Conclusão;Graduado;Até 18;0
779819;Ciência Da Computação;Integral;2012;18;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.94;5.03;100.0;0;0.0;57;11;46;92.63;19.3;10;0;1;80.7;10;Conclusão;Graduado;Até 18;0
779820;Sistemas De Informação;Noturno;2012;17;Não;Processo Seletivo;Ampla Concorrência;Feminino;Pardo;Solteiro(A);8.33;5.32;100.0;0;0.0;44;0;44;94.46;0.0;0;0;0;100.0;8;Conclusão;Graduado;Até 18;0
779821;Sistemas De Informação;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);5.12;5.32;76.53;1;0.0;63;32;31;81.22;50.79;23;0;9;49.21;17;Ativo;Ativo;Até 18;0
779833;Ciência Da Computação;Integral;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);3.52;5.03;22.34;1;0.0;46;34;12;87.94;73.91;30;0;4;26.09;9;Excluído;Excluído;Entre 19 e 21;0
779843;Sistemas De Informação;Noturno;2012;34;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Casado(A);2.08;5.32;8.53;1;0.0;17;13;4;49.73;76.47;1;0;12;23.53;6;Excluído;Excluído;Entre 31 e 40;0
779871;Ciência Da Computação;Integral;2012;32;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);1.95;5.03;56.84;1;0.0;29;24;5;60.66;82.76;5;0;19;17.24;8;Excluído;Excluído;Entre 31 e 40;0
779896;Engenharia De Software;Noturno;2012;20;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);7.33;5.48;100.0;0;0.0;43;1;42;88.69;2.33;0;0;1;97.67;10;Conclusão;Graduado;Entre 19 e 21;0
779926;Engenharia De Software;Noturno;2012;21;Sim;Processo Seletivo;RI;Masculino;Branco;Solteiro(A);0.0;5.48;0.0;0;0.0;10;5;5;91.25;50.0;5;0;0;50.0;2;Excluído;Excluído;Entre 19 e 21;1
779927;Engenharia De Software;Noturno;2012;21;Sim;Processo Seletivo;RI;Masculino;Não Informado;Solteiro(A);5.68;5.48;100.0;0;0.0;72;29;43;91.67;40.28;28;0;1;59.72;19;Conclusão;Graduado;Entre 19 e 21;1
779928;Engenharia De Software;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.49;5.48;100.0;0;0.0;54;11;43;89.35;20.37;10;0;1;79.63;14;Conclusão;Graduado;Até 18;0
779929;Engenharia De Software;Noturno;2012;20;Sim;Processo Seletivo;RI;Masculino;Preto;Solteiro(A);3.32;5.48;22.0;1;0.0;38;27;11;81.38;71.05;20;0;7;28.95;10;Excluído;Excluído;Entre 19 e 21;1
779930;Engenharia De Software;Noturno;2012;17;Não;Processo Seletivo;Ampla Concorrência;Masculino;Branco;Solteiro(A);0.0;5.48;0.0;1;0.0;15;9;6;87.81;60.0;7;0;2;40.0;3;Excluído;Excluído;Até 18;0
779943;Engenharia De Software;Noturno;2012;23;Sim;Processo Seletivo;RI;Masculino;Preto;Solteiro(A);1.31;5.48;6.0;1;0.0;26;23;3;51.32;88.46;8;0;15;11.54;7;Excluído;Excluído;Entre 21 e 24;1
780027;Sistemas De Informação;Noturno;2012;18;Sim;Processo Seletivo;RI;Masculino;Preto;Solteiro(A);2.5;5.32;0.0;1;0.0;18;14;4;54.17;77.78;5;0;9;22.22;4;Excluído;Excluído;Até 18;1
780048;Sistemas De Informação;Noturno;2012;27;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.02;5.32;85.33;1;0.0;59;20;39;72.75;33.9;3;1;16;66.1;15;Ativo;Ativo;Entre 25 e 27;0
780116;Engenharia De Software;Noturno;2012;30;Sim;Sisu;RI;Masculino;Preto;Casado(A);1.95;5.48;2.0;1;0.0;8;7;1;53.91;87.5;3;0;4;12.5;3;Excluído;Excluído;Entre 28 e 30;1
780173;Sistemas De Informação;Noturno;2012;19;Sim;Processo Seletivo;RI;Feminino;Não Informado;Solteiro(A);6.63;5.32;100.0;0;0.0;53;10;43;86.04;18.87;7;0;3;81.13;17;Ativo;Ativo;Entre 19 e 21;1
780189;Sistemas De Informação;Noturno;2012;27;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);2.78;5.32;9.6;1;0.0;18;13;5;75.23;72.22;7;0;6;27.78;5;Excluído;Excluído;Entre 25 e 27;0
780203;Ciência Da Computação;Integral;2012;18;Sim;Processo Seletivo;RI;Masculino;Preto;Solteiro(A);6.93;5.03;100.0;0;0.0;49;4;45;91.31;8.16;4;0;0;91.84;9;Conclusão;Graduado;Até 18;1
780216;Sistemas De Informação;Noturno;2012;20;Sim;Sisu;RI;Masculino;Branco;Solteiro(A);6.48;5.32;100.0;0;0.0;40;5;35;85.08;12.5;0;1;4;87.5;11;Conclusão;Graduado;Entre 19 e 21;1
780475;Ciência Da Computação;Integral;2012;22;Sim;Processo Seletivo;RI;Masculino;Preto;Solteiro(A);0.0;5.03;0.0;0;0.0;9;8;1;37.5;88.89;2;0;6;11.11;3;Excluído;Excluído;Entre 21 e 24;1
780498;Sistemas De Informação;Noturno;2012;24;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.32;0.0;0;0.0;0;0;0;0.0;0.0;0;0;0;0.0;0;Excluído;Excluído;Entre 21 e 24;0
780527;Sistemas De Informação;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.79;5.32;100.0;0;0.0;52;8;44;90.71;15.38;8;0;0;84.62;12;Conclusão;Graduado;Até 18;0
780528;Sistemas De Informação;Noturno;2012;20;Sim;Processo Seletivo;RI;Masculino;Pardo;Solteiro(A);8.11;5.32;100.0;0;0.0;44;0;44;94.79;0.0;0;0;0;100.0;8;Conclusão;Graduado;Entre 19 e 21;1
780539;Sistemas De Informação;Noturno;2012;17;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);5.02;5.32;66.13;0;0.0;49;18;31;75.36;36.73;8;0;10;63.27;11;Excluído;Excluído;Até 18;0
780565;Sistemas De Informação;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);4.91;5.32;100.0;0;0.0;78;36;42;75.23;46.15;20;0;16;53.85;18;Ativo;Ativo;Até 18;0
780598;Sistemas De Informação;Noturno;2012;22;Sim;Processo Seletivo;RI;Masculino;Não Informado;Solteiro(A);7.31;5.32;100.0;1;0.0;25;0;25;86.34;0.0;0;0;0;100.0;6;Conclusão;Graduado;Entre 21 e 24;1
780613;Sistemas De Informação;Noturno;2012;21;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Branco;Solteiro(A);7.47;5.32;100.0;0;0.0;35;0;35;95.81;0.0;0;0;0;100.0;8;Conclusão;Graduado;Entre 19 e 21;0
780649;Engenharia De Software;Noturno;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);5.54;5.48;100.0;0;0.0;66;23;43;83.85;34.85;16;0;7;65.15;16;Conclusão;Graduado;Entre 19 e 21;0
780662;Engenharia De Software;Noturno;2012;19;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);9.0;5.48;100.0;0;2.0;43;0;43;94.84;0.0;0;0;0;100.0;10;Conclusão;Graduado;Entre 19 e 21;0
780674;Engenharia De Software;Noturno;2012;23;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);5.85;5.48;0.0;1;0.0;16;6;10;76.56;37.5;1;0;5;62.5;3;Excluído;Excluído;Entre 21 e 24;0
780881;Sistemas De Informação;Noturno;2012;21;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);4.65;5.32;80.86;1;0.0;69;33;36;86.86;47.83;25;0;8;52.17;17;Ativo;Ativo;Entre 19 e 21;0
780882;Sistemas De Informação;Noturno;2012;19;Sim;Processo Seletivo;RI;Masculino;Preto;Solteiro(A);0.0;5.32;0.0;0;0.0;15;12;3;67.5;80.0;4;0;8;20.0;4;Excluído;Excluído;Entre 19 e 21;1
780883;Sistemas De Informação;Noturno;2012;18;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);8.38;5.32;100.0;0;0.0;44;0;44;93.21;0.0;0;0;0;100.0;8;Conclusão;Graduado;Até 18;0
780921;Engenharia De Software;Noturno;2012;20;Não;Sisu;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);0.0;5.48;0.0;0;0.0;0;0;0;0.0;0.0;0;0;0;0.0;0;Excluído;Excluído;Entre 19 e 21;0
780922;Engenharia De Software;Noturno;2012;18;Não;Sisu;Ampla Concorrência;Feminino;Não Informado;Solteiro(A);0.0;5.48;0.0;0;0.0;0;0;0;0.0;0.0;0;0;0;0.0;0;Excluído;Excluído;Até 18;0
780923;Engenharia De Software;Noturno;2012;34;Sim;Sisu;Ampla Concorrência;Masculino;Branco;Casado(A);8.6;5.48;100.0;0;0.0;45;0;45;95.7;0.0;0;0;0;100.0;9;Conclusão;Graduado;Entre 31 e 40;0
780962;Sistemas De Informação;Noturno;2012;19;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);5.15;5.32;100.0;0;0.0;71;29;42;79.35;40.85;17;0;12;59.15;18;Conclusão;Graduado;Entre 19 e 21;0
780984;Ciência Da Computação;Integral;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.34;5.03;100.0;0;0.0;61;15;46;89.15;24.59;14;0;1;75.41;12;Conclusão;Graduado;Até 18;0
781087;Engenharia De Software;Noturno;2012;23;Sim;Processo Seletivo;RI;Masculino;Não Informado;Solteiro(A);2.04;5.48;0.0;0;0.0;22;19;3;66.9;86.36;6;0;13;13.64;5;Excluído;Excluído;Entre 21 e 24;1
